Fecha,real,forecast
2017-08-06,368.986331747576,475.8860424237775
2017-08-13,426.8548593696673,436.74966687453065
2017-08-20,360.7440607625624,531.9185850045266
2017-08-27,573.1170890462331,524.3524523312085
2017-09-03,528.483583827182,740.291177437453
2017-09-10,992.416815422656,1121.6173188965406
2017-09-17,1502.1107293369794,1336.0469075567987
2017-09-24,2157.3052667793563,1767.4863439389208
2017-10-01,2760.1283805337944,2630.1349331463703
2017-10-08,3624.2974903793684,3299.913598933268
2017-10-15,4543.897988171793,4713.145161186195
2017-10-22,4410.820007155033,5184.078554060841
2017-10-29,5763.669471048415,6312.377423848946
2017-11-05,6585.2394103205215,5359.711860555255
2017-11-12,5854.804955237535,6289.938762392405
2017-11-19,6232.764699872697,4952.69176115549
2017-11-26,6256.438803884683,6555.790089473753
2017-12-03,5169.647139454567,5373.390301787222
2017-12-10,4567.660100005384,5306.20479873506
2017-12-17,4963.197714548216,3954.0960407780135
2017-12-24,4486.043000214564,4555.167615388564
2017-12-31,5317.628906568662,4225.643905468458
2018-01-07,4532.460356279242,6143.886748587371
2018-01-14,5376.543373301378,4825.183408641164
2018-01-21,5312.470294256072,5637.3702892537285
2018-01-28,5962.479140056132,4700.111049408216
2018-02-04,4898.918155613756,5857.675711665592
2018-02-11,5007.401335407884,6538.26242330567
2018-02-18,6195.980815357648,5827.912973684801
2018-02-25,5608.934796084173,6446.3605390910925
2018-03-04,6375.598009422848,5917.526644104886
2018-03-11,5735.913158080403,6416.273597757974
2018-03-18,5374.261939772056,7149.956681707657
2018-03-25,5544.5198405010915,5515.310856133955
2018-04-01,6538.903292245017,6275.935203552777
2018-04-08,7124.256853410685,6215.100124501179
2018-04-15,5685.708080770454,6246.968531356498
2018-04-22,6919.462652533767,6010.565733752763
2018-04-29,5574.104008225533,5376.523336469096
2018-05-06,5876.664744157954,5002.428581855043
2018-05-13,6392.106245806384,5385.08687096485
2018-05-20,6003.412931851519,6100.608345617122
2018-05-27,5607.922706135706,5851.715534693224
2018-06-03,4808.270099359685,4884.2235290209655
2018-06-10,3332.070903653211,3832.5225957111993
2018-06-17,2185.1732819824842,2658.3948314752583
2018-06-24,1982.1629319511944,1733.7269307773227
2018-07-01,1871.4287828736853,1331.6056936244297
2018-07-08,1169.3463860126606,1374.2595992772813
2018-07-15,765.1569256227266,1341.4741089335837
2018-07-22,525.6300994574217,1083.0355784196079
2018-07-29,533.6862000505766,566.8695094796105
2018-08-05,427.0477995939572,498.8981469005742
2018-08-12,196.96827458642358,333.07283843114993
